TotalSteps,TotalMinutesAsleep,IsWeekend
3276,429.0,False
2961,370.0,False
3974,441.0,False
7198,337.0,False
2064,388.0,False
2072,439.0,False
3809,436.0,False
6831,388.0,False
3385,328.0,False
6326,353.0,False
7243,332.0,False
4493,419.0,False
4676,106.0,False
6910,502.0,False
7502,417.0,False
2923,337.0,False
3800,462.0,False
4514,374.0,False
5275,457.0,False
3915,405.0,False
9105,499.0,False
768,483.0,False
13743,126.0,False
9148,103.0,False
7833,171.0,False
7213,425.0,False
6877,400.0,False
7860,384.0,False
6506,253.0,False
9105,293.0,False
6708,457.0,False
8793,454.0,False
6530,425.0,False
9167,370.0,False
6108,421.0,False
7047,432.0,False
9023,442.0,False
9930,433.0,False
9454,327.0,False
8161,412.0,False
8614,414.0,False
6943,404.0,False
8232,435.0,False
10613,416.0,False
9810,354.0,False
2752,404.0,False
11596,441.0,False
4832,455.0,False
17022,357.0,False
16556,377.0,False
3727,520.0,False
15482,357.0,False
2713,658.0,False
12346,399.0,False
11682,322.0,False
10946,433.0,False
11886,412.0,False
10538,347.0,False
11393,421.0,False
12764,450.0,False
9769,409.0,False
12848,380.0,False
4249,447.0,False
14331,419.0,False
9632,400.0,False
11611,453.0,False
16358,418.0,False
4926,463.0,False
3121,438.0,False
8135,419.0,False
5077,432.0,False
8596,477.0,False
12087,392.0,False
9893,527.0,False
12574,449.0,False
8330,447.0,False
10830,414.0,False
9172,338.0,False
6393,421.0,False
5325,354.0,False
6805,424.0,False
9841,361.0,False
7924,459.0,False
7439,525.0,False
11045,508.0,False
5206,603.0,False
7550,74.0,False
8869,504.0,False
4038,431.0,False
5153,493.0,False
11135,465.0,False
10449,474.0,False
19542,508.0,False
8206,480.0,False
9411,542.0,False
3403,393.0,False
9592,600.0,False
9799,392.0,False
3365,658.0,False
4477,492.0,False
4053,235.0,False
5162,423.0,False
1282,391.0,False
10199,366.0,False
5652,630.0,False
1551,508.0,False
5563,370.0,False
11404,442.0,False
10742,476.0,False
13928,418.0,False
11835,451.0,False
10725,425.0,False
13239,400.0,False
10433,441.0,False
10320,455.0,False
12627,440.0,False
10762,433.0,False
12912,466.0,False
12109,394.0,False
10147,442.0,False
10524,467.0,False
5908,443.0,False
12342,489.0,False
15448,469.0,False
6722,452.0,False
3587,516.0,False
11317,514.0,False
5813,451.0,False
9123,472.0,False
8585,377.0,False
10688,472.0,False
14365,492.0,False
9469,390.0,False
9753,428.0,False
10091,446.0,False
10387,485.0,False
11107,469.0,False
11584,354.0,False
10052,440.0,False
10288,456.0,False
10988,420.0,False
12461,322.0,False
13566,427.0,False
9572,451.0,False
3789,444.0,False
15108,486.0,False
7626,338.0,False
12386,447.0,False
13318,424.0,False
14461,513.0,False
13630,398.0,False
13070,387.0,False
9388,381.0,False
15148,396.0,False
12200,441.0,False
12405,388.0,False
16208,550.0,False
7359,531.0,False
5417,506.0,False
6175,527.0,False
6064,351.0,False
8712,405.0,False
7875,441.0,False
8567,381.0,False
7045,323.0,False
8382,359.0,False
6582,342.0,False
9143,368.0,False
4561,496.0,False
2564,458.0,False
1320,531.0,False
1219,486.0,False
2483,363.0,False
3147,528.0,False
4068,391.0,False
1758,423.0,False
6157,402.0,False
8360,398.0,False
1831,415.0,False
2421,516.0,False
2283,439.0,False
12669,340.0,True
9705,700.0,True
14371,361.0,True
10039,430.0,True
14673,404.0,True
10602,369.0,True
11992,331.0,True
10060,594.0,True
18213,124.0,True
6724,137.0,True
4014,722.0,True
2573,590.0,True
2547,524.0,True
838,437.0,True
12357,522.0,True
3490,555.0,True
4729,573.0,True
3609,527.0,True
4193,511.0,True
5528,541.0,True
5079,61.0,True
5472,556.0,True
16901,374.0,True
9471,442.0,True
13459,283.0,True
10415,381.0,True
12058,235.0,True
14112,310.0,True
13238,237.0,True
10414,383.0,True
11550,237.0,True
13585,259.0,True
1982,77.0,True
5862,364.0,True
4744,506.0,True
4935,692.0,True
4081,467.0,True
8221,490.0,True
1251,484.0,True
7937,507.0,True
3672,602.0,True
6580,426.0,True
4660,619.0,True
13236,478.0,True
10243,552.0,True
12533,409.0,True
10255,547.0,True
22770,472.0,True
17298,529.0,True
3945,462.0,True
2268,98.0,True
6222,322.0,True
5232,439.0,True
5183,401.0,True
7303,361.0,True
3428,115.0,True
6543,123.0,True
11140,382.0,True
12692,591.0,True
15126,465.0,True
15050,480.0,True
10144,479.0,True
14370,520.0,True
5771,651.0,True
655,350.0,True
4112,631.0,True
1807,553.0,True
1202,775.0,True
5164,622.0,True
1868,442.0,True
6083,568.0,True
14269,406.0,True
12231,549.0,True
7638,384.0,True
15764,543.0,True
12363,412.0,True
13368,379.0,True
14450,380.0,True
7150,336.0,True
11495,492.0,True
7623,353.0,True
8915,507.0,True
7336,498.0,True
7328,555.0,True
13217,357.0,True
10145,427.0,True
20031,528.0,True
5029,511.0,True
10081,422.0,True
5454,411.0,True
6815,298.0,True
4188,541.0,True
4631,79.0,True
5600,58.0,True
3520,681.0,True
14560,485.0,True
12390,388.0,True
12827,530.0,True
10677,481.0,True
22359,331.0,True
19769,74.0,True
11207,611.0,True
2132,525.0,True
5709,565.0,True
3703,458.0,True
2946,468.0,True
11419,475.0,True
4468,459.0,True
2943,545.0,True
5245,339.0,True
7174,343.0,True
1619,503.0,True
